paper_id,title,authors,year,venue,arxiv_or_doi_url,official_code_url,category,sub_category,one_sentence_contribution,technical_summary,key_equations_or_ideas,inference_relevance,hardware_or_system_relevance,limitations,citation_status,last_verified_date,document_link
P-011,DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving,"Zhong, Yinmin; Liu, Shengyu; Chen, Junda; Hu, Jianbo; Zhu, Yibo; Liu, Xuanzhe; Jin, Xin; Zhang, Hao",2024,OSDI 2024,https://arxiv.org/abs/2401.09670,https://github.com/LLMServe/DistServe,Serving and Scheduling,prefill/decode 分离,把 prefill 与 decode 放到不同 GPU 上执行，从根上消除两阶段的相互干扰，并允许两侧各自选择并行策略与扩缩容比例。,与 chunked prefill「在同一批里把两阶段调匀」相反，DistServe 直接在物理上拆开：prefill 实例产出 KV cache 后经互连传给 decode 实例。由于 TTFT 与 TPOT 分别由两侧决定，各自的并行度、批大小与实例数可以独立调；优化目标从「吞吐」改为 goodput——同时满足 TTFT 与 TPOT SLO 的请求速率。,goodput = 满足 SLO 的请求速率，而非原始吞吐；KV cache 迁移成本 vs 干扰消除收益；两侧独立扩缩容比例,是本库模块 07 中「prefill 与 decode 的瓶颈资源不同」这一结论的极端形态；同时把 SLO 显式写进优化目标，与只报吞吐的评测方式形成对照。,可行性取决于 KV cache 迁移带宽——传输量 ∝ 序列长度 × 层数 × 每 token KV 字节数，因此该架构与高带宽互连（本库模块 08）强绑定；也使两侧可选用不同型号的加速器。,本库未读原文，论文自述的 goodput 与 SLO 改善倍数未采信；引入 KV 迁移这一新的失败域与延迟来源；两侧比例随 workload 的输入/输出长度比漂移，静态划分会在流量结构变化时失配；在短 prompt、短输出的 workload 上，迁移开销可能吃掉全部收益。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-012,SGLang: Efficient Execution of Structured Language Model Programs,"Zheng, Lianmin; Yin, Liangsheng; Xie, Zhiqiang; Sun, Chuyue; Huang, Jeff; Yu, Cody Hao; Cao, Shiyi; Kozyrakis, Christos; et al.",2024,NeurIPS 2024,https://arxiv.org/abs/2312.07104,https://github.com/sgl-project/sglang,Serving and Scheduling,前缀复用与结构化解码,把「LM 程序」（多轮、分支、工具调用）作为一等公民，用基数树组织 KV cache 实现跨请求前缀复用，并用压缩状态机加速受约束解码。,多数 serving 系统把请求当作彼此独立的字符串，但 agent 与 few-shot workload 中大量请求共享长前缀。RadixAttention 用基数树索引已缓存的 KV 块，新请求沿树匹配最长公共前缀并直接复用，缓存替换按树结构（而非按请求）进行。结构化输出（如 JSON）方面，把语法约束预编译成状态机，使多个确定的 token 可在一步内推进，而不是逐 token 走一次前向。,基数树上的最长公共前缀匹配；以树节点为单位的 LRU 驱逐；受约束解码中「确定性 token 段」可跳过前向,前缀复用把 prefill 的算力开销从 O(共享前缀长度) 降为一次；对应本库模块 07 中 prefill 成本模型里可被完全消去的项，是 agent 类多轮 workload 收益最大的单项优化。,收益直接来自显存中已有的 KV 块被重复利用，因此与显存容量、驱逐策略强耦合；命中率随 workload 的前缀共享度变化，是典型的「缓存」问题。,本库未读原文，论文自述的吞吐倍数未采信；前缀复用的收益完全取决于 workload 的共享结构，在无共享前缀的场景下退化为普通 serving 并额外承担树维护成本；跨请求共享 KV 在多租户下需要考虑隔离与信息泄漏边界（本库模块 03 已单列讨论）。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-013,AlpaServe: Statistical Multiplexing with Model Parallelism for Deep Learning Serving,"Li, Zhuohan; Zheng, Lianmin; Zhong, Yinmin; Liu, Vincent; Sheng, Ying; Jin, Xin; Huang, Yanping; Chen, Zhifeng; et al.",2023,OSDI 2023,https://arxiv.org/abs/2302.11665,https://github.com/alpa-projects/mms,Serving and Scheduling,多模型统计复用,指出模型并行不只是「装下大模型」的手段，它还能通过统计复用降低多模型服务在突发流量下的尾延迟。,传统观点认为模型并行会引入通信开销，能不用则不用。本文指出：当一台机器上要服务多个模型、且各模型流量突发且不相关时，把每个模型切分到多个设备上、让所有设备共同承接所有模型的流量，可以把突发平摊到更大的资源池上——这正是排队论中的统计复用效应。系统据此在「并行策略 × 模型放置」的联合空间中搜索配置。,统计复用：合并 n 个独立突发流后，峰均比按 √n 量级下降；模型并行的通信开销 vs 排队等待的减少；放置与并行策略的联合优化,给出了「为什么要并行」的第二个理由（第一个是容量），是多模型/多租户平台做容量规划时的核心论证；与本库模块 01 中排队放大因子 ρ/(1−ρ) 的分析属同一套排队论工具。,结论强依赖设备间互连带宽——通信开销一旦超过排队收益，结论反转；因此同一论证在 NVLink 域内与跨节点以太网上的适用性完全不同。,本库未读原文，论文自述的 SLO 达成率改善未采信；实验对象以 OSDI 2023 时点的模型为主，早于当代 LLM 的 KV cache 主导型显存占用，把结论直接搬到自回归 LLM 服务上需要重新论证——LLM 的显存被 KV cache 而非权重主导，放置问题的约束结构已经不同。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-014,Fast Distributed Inference Serving for Large Language Models,"Wu, Bingyang; Zhong, Yinmin; Zhang, Zili; Huang, Gang; Liu, Xuanzhe; Jin, Xin",2023,arXiv preprint,https://arxiv.org/abs/2305.05920,待核实,Serving and Scheduling,抢占式调度,利用自回归解码天然的 token 级边界实现请求抢占，以多级反馈队列近似最短作业优先，降低短请求的排队时间。,continuous batching 已让请求可在迭代边界进出，但仍是先来先服务：一个输出很长的请求会长期占据批位。本文把每个 token 的生成视为一个可抢占点，用 skip-join MLFQ 调度：新请求按输入长度直接落入合适的优先级队列（跳过更高优先级队列以减少降级次数），被抢占请求的 KV cache 在 GPU 与主机内存之间换出/换入。,输出长度事先未知 → 用 MLFQ 近似 SJF；抢占粒度 = 一个 token；抢占代价 = KV cache 换出/换入的 PCIe 传输时间,把调度理论中「未知服务时间下如何近似 SJF」的经典结论引入 LLM serving；同时暴露出 LLM 特有的抢占代价：上下文不是几 KB 寄存器，而是数百 MB 的 KV cache。,换出/换入受 PCIe（或同等主机互连）带宽约束，对应本库模块 06 中 KV offload 的带宽预算分析；抢占频率过高时，链路会先于算力饱和。,本库未读原文，论文自述的 JCT 改善倍数未采信；未见官方开源实现（official_code_url 标为 待核实）；抢占对吞吐不利——它以牺牲平均占用率换取短请求的延迟，在吞吐优先的离线批处理场景下不应启用；MLFQ 参数（队列数、时间片、降级阈值）需按 workload 调，论文未给出通用整定方法。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-015,Splitwise: Efficient Generative LLM Inference Using Phase Splitting,"Patel, Pratyush; Choukse, Esha; Zhang, Chaojie; Shah, Aashaka; Goiri, Íñigo; Maleki, Saeed; Bianchini, Ricardo",2024,ISCA 2024,https://dl.acm.org/doi/10.1109/ISCA59077.2024.00019,待核实,Datacenter Systems,阶段分离的机群设计,从数据中心视角论证 prefill 与 decode 应部署在不同机器上，并可为两个阶段选择不同代际、不同功耗特性的硬件。,与 DistServe 的系统视角互补，本文关注机群与功耗层面：prefill 阶段吃算力，decode 阶段吃带宽且长期让算力闲置。把两阶段拆到不同机器后，decode 池不需要最新代际 GPU 的峰值算力，可以选择功耗与成本更低的配置；两池的机器数按 workload 的输入/输出长度比确定。,两阶段的算力/带宽需求比不同 → 单一同构机型必然在某一阶段浪费；机群设计变量 = 两池机型 × 两池比例；约束从「吞吐」扩展到「功耗预算」与「成本预算」,把本库模块 07 的两阶段瓶颈分析一路推到采购与机房规划层面；解释了为什么「decode 池用上一代 GPU」在经济上可能是理性的。,与本库模块 09（数据中心与功耗）直接相关：同样的功耗预算下，机型混搭改变了可部署的总算力结构；同时依赖池间 KV cache 传输的互连带宽。,本库未读原文，论文自述的吞吐、成本与功耗改善倍数一律未采信；结论依赖当时的 GPU 代际价格与功耗结构，硬件代际更替后需重新计算；两池比例对 workload 结构敏感，混合流量下的静态划分会失配；未见官方开源实现（official_code_url 标为 待核实）。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/03_batching_serving_and_scheduler_papers.md
P-016,Accelerating Large Language Model Decoding with Speculative Sampling,"Chen, Charlie; Borgeaud, Sebastian; Irving, Geoffrey; Lespiau, Jean-Baptiste; Sifre, Laurent; Jumper, John",2023,arXiv preprint,https://arxiv.org/abs/2302.01318,待核实,Speculative Decoding,draft-verify（与 P-005 独立同期）,与 P-005 同期独立提出等价的 draft-verify 框架，并强调修改后的拒绝采样在有限精度算术下仍保持目标分布不变。,draft 模型自回归产生若干候选 token，target 模型对这些位置一次前向并行打分；按修改的拒绝采样规则逐位接受或在首个拒绝处重采样。该工作与 P-005 在同一时期独立给出同一框架，两篇并读的价值在于：同一算法被两组人从不同角度描述，交叉阅读更容易分清「哪些是框架本身的性质」与「哪些是某次实现的选择」。,修改的拒绝采样保证输出分布与直接从 target 采样一致；并行打分 k+1 个位置的成本 ≈ 采样 1 个 token 的成本（decode 为带宽受限时成立）,其可行性前提正是 decode 阶段的带宽受限特性：一次前向多算几个位置几乎不增加时间，因为时间由权重读取而非算力决定。这一点与本库模块 02 第 2 章的两阶段分析是同一件事的两种说法。,收益取决于 target 前向是否仍有闲置算力；大 batch 下算力接近饱和时收益显著缩小甚至为负。,本库未读原文，论文自述的加速比与所用模型规模均未采信；需要额外的 draft 模型，带来显存与工程成本；接受率随任务分布变化大；未见官方开源实现。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-017,Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads,"Cai, Tianle; Li, Yuhong; Geng, Zhengyang; Peng, Hongwu; Lee, Jason D.; Chen, Deming; Dao, Tri",2024,arXiv preprint,https://arxiv.org/abs/2401.10774,https://github.com/FasterDecoding/Medusa,Speculative Decoding,自投机（多解码头）,去掉独立的 draft 模型，改为在目标模型自身之上接若干个并行预测后续位置的轻量解码头，使投机解码不再需要第二个模型。,在目标模型最后一层隐状态上并联多个小型解码头，第 i 个头预测第 i 个未来位置。一次前向即可同时得到当前 token 与若干候选后续 token，候选组合成树后由目标模型一次前向并行验证。draft 与 target 共享主干计算，因此不存在独立 draft 模型的加载与显存开销。,自投机：draft 与 target 共享主干，边际成本仅为解码头；多头 × 各头 top-k 组合成候选树；树形注意力掩码使一次前向验证整棵树,把投机解码的部署门槛从「需要找到并维护一个合适的 draft 模型」降为「给现有模型加几个头并训练」，显著改变了工程可行性。,树形验证一次前向要处理更多 token，属于用算力换步数；在 decode 带宽受限区间内这笔交易划算，接近算力饱和时不再划算。,本库未读原文，论文自述的加速比与接受率均未采信；解码头需要训练，属于模型侧改造而非纯部署侧改造；多头共享主干意味着 draft 与 target 的错误相关性可能高于独立 draft 模型，其对接受率的影响需按模型实测；与 continuous batching 共存时调度复杂度上升。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-018,EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty,"Li, Yuhui; Wei, Fangyun; Zhang, Chao; Zhang, Hongyang",2024,ICML 2024,https://arxiv.org/abs/2401.15077,https://github.com/SafeAILab/EAGLE,Speculative Decoding,特征级自回归 draft,指出在特征（隐状态）层面做自回归外推比在 token 层面更容易，但必须显式处理采样引入的不确定性，据此设计更准的轻量 draft。,draft 不直接预测 token，而是预测目标模型倒数第二层的特征序列，再由目标模型自身的输出头把特征转成 token 分布。关键观察是：特征序列比 token 序列更规则、更易外推，但下一个特征依赖于实际被采样出的 token——因此 draft 的输入需要同时包含特征与已确定的 token，以消解这一不确定性。,在特征空间而非 token 空间做自回归；把「已采样的 token」作为额外输入以消解特征外推的不确定性；复用目标模型的 LM head，减少 draft 参数量,接受率是投机解码收益的主导因子（见本库模块 05 第 6 章）；本文的路线是提高接受率而非降低 draft 成本，与 Medusa 的「降低 draft 成本」构成互补的两个方向。,draft 参数量小、复用目标模型的输出头，显存开销与主干共享程度高；仍属用算力换步数。,本库未读原文，论文自述的接受率与加速比均未采信；draft 需要针对具体目标模型训练，换模型即需重训；对目标模型内部特征的依赖使其与量化、蒸馏等改变特征分布的手段存在潜在冲突，该冲突的实际影响需实测。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-019,EAGLE-2: Faster Inference of Language Models with Dynamic Draft Trees,"Li, Yuhui; Wei, Fangyun; Zhang, Chao; Zhang, Hongyang",2024,EMNLP 2024,https://arxiv.org/abs/2406.16858,https://github.com/SafeAILab/EAGLE,Speculative Decoding,动态 draft 树,把候选树从静态结构改为按 draft 置信度动态展开，使验证预算优先花在更可能被接受的分支上。,此前的树形投机使用固定形状的候选树，无论上下文难易都展开同样多的分支。本文利用 draft 模型自身的置信度作为展开信号：高置信位置深展开、低置信位置早剪枝，在同样的验证 token 预算下提高期望接受长度。,固定预算下的树形状优化：期望接受长度 = Σ 各分支接受概率；用 draft 置信度近似接受概率作为展开与剪枝的信号,验证一次前向能处理的 token 数受算力预算约束，因此树形状是一个带约束的分配问题而非越大越好——这与本库模块 05 第 6 章「投机深度存在最优值」的结论一致。,动态树使每步的验证 token 数可变，与固定形状的 CUDA graph 捕获、静态 kernel 存在张力，实现上需要在灵活性与执行开销之间取舍。,本库未读原文，论文自述的加速比未采信；draft 置信度与真实接受概率的相关性依模型而变，是该方法有效性的隐含前提；变长验证批与 continuous batching 的调度耦合更紧，工程复杂度高于静态树。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-020,SpecInfer: Accelerating Generative Large Language Model Serving with Tree-based Speculative Inference and Verification,"Miao, Xupeng; et al.（完整作者名单 待核实）",2024,ASPLOS 2024,https://dl.acm.org/doi/10.1145/3620666.3651335,待核实,Speculative Decoding,多 draft 与树形并行验证,把投机解码从「单条候选链」推广到「由多个 draft 组成的 token 树」，并给出一次前向并行验证整棵树的机制。,单个 draft 模型的猜测在某一步错了，其后的候选全部作废。本文用多个小型投机模型同时提议，把它们的候选组织成一棵 token 树，树上每条根到叶的路径都是一个候选序列；通过精心构造的注意力掩码，目标模型一次前向即可并行验证树上所有路径，并按拒绝采样规则选出最长可接受前缀。,token 树：多候选并行而非单链串行；树形注意力掩码使一次前向验证多条路径；接受长度的期望随树宽增加而增加，但边际收益递减,它把「投机深度」这一个旋钮扩展为「深度 × 宽度」两个旋钮，并把验证成本显式变成一个可分配的算力预算——后续的 Medusa、EAGLE 系列的树形验证都在这一框架内。,树形验证使单次前向的 token 数显著大于 1，把 decode 从纯 GEMV 推向小 GEMM 形态，算术强度上升；该结构在分布式与 offloading 场景下的收益特征与单机不同。,本库未读原文，论文自述的加速比与实验规模均未采信；作者完整名单与官方实现仓库均标为 待核实（FlexFlow 系仓库 README 未给出本文的引用）；树宽增加会线性抬高验证算力，在算力已接近饱和的大 batch 场景下收益反转；多 draft 模型带来叠加的显存与维护成本。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-021,Break the Sequential Dependency of LLM Inference Using Lookahead Decoding,"Fu, Yichao; Bailis, Peter; Stoica, Ion; Zhang, Hao",2024,arXiv preprint,https://arxiv.org/abs/2402.02057,https://github.com/hao-ai-lab/LookaheadDecoding,Speculative Decoding,无 draft 模型的并行解码,不使用任何 draft 模型，而是把自回归解码看作一个非线性方程组并用雅可比迭代并行求解，同时缓存迭代产生的 n-gram 作为后续候选。,自回归解码的串行性来自「第 n 个 token 依赖前 n−1 个」这一约束。把整段待生成序列视为未知量，则该约束构成一个非线性方程组，可用雅可比迭代并行地反复修正——每次迭代同时更新多个位置。迭代过程中产生的 n-gram 被缓存下来，作为后续步骤的候选参与验证，从而把「猜测」的来源从外部 draft 模型换成模型自身的迭代历史。,把自回归解码写成不动点方程并用雅可比迭代求解；n-gram 缓存充当无成本的 draft；用额外算力换取串行步数减少,它给出了投机解码族的第三个坐标——P-005/P-016 需要外部 draft，P-017/P-018 需要训练 draft 头，本文两者都不需要，代价是每步消耗更多算力。对「不能改模型、也不想维护第二个模型」的部署场景，这是唯一可选项。,典型的用算力换时延：只在 decode 阶段算力大量闲置时成立，因此与本库模块 02 第 2 章的带宽受限判据直接绑定。,本库未读原文，论文自述的加速比与算力开销倍数均未采信；额外算力开销显著，在大 batch 下会与其他请求争抢算力，收益可能为负；n-gram 缓存的命中率依赖生成内容的重复性，在高熵、少重复的任务上收益下降。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/04_speculative_decoding_papers.md
P-022,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,"Dettmers, Tim; Lewis, Mike; Belkada, Younes; Zettlemoyer, Luke",2022,arXiv preprint,https://arxiv.org/abs/2208.07339,https://github.com/bitsandbytes-foundation/bitsandbytes,Quantization,激活离群值与混合精度分解,指出大模型激活中存在少数极端离群维度，它们是朴素 int8 量化崩溃的原因，并给出把这些维度单独保留高精度的混合精度矩阵乘方案。,随着模型规模增大，激活张量中出现少数幅值远超其余的特征维度。均匀量化按全局最大值定标，这些离群值会把量化步长撑大，使绝大多数正常取值被压进极少的量化格子里，精度崩塌。本文按列检测离群维度，对这部分走高精度矩阵乘，其余走 int8，最后合并结果。,量化步长 ∝ 张量动态范围 → 离群值主导定标；按维度分解为「离群子矩阵 + 常规子矩阵」的混合精度乘法；离群维度数量少但幅值大，故分解开销可控,权重量化直接压缩步时间方程中的 W 项（见本库模块 07 第 5 章）；但本文真正的贡献是指出**激活**的分布形态才是可行性瓶颈——这一认识是后续 SmoothQuant、AWQ 等工作的共同起点。,混合精度分解引入不规则的稀疏结构，对 kernel 实现不友好，其实际收益取决于分解开销能否被压到足够小。,本库未读原文，论文自述的精度保持与吞吐数字均未采信；分解带来的不规则计算使实测加速常低于位宽比暗示的理论值；离群维度的分布随模型与输入而变，检测阈值是需要整定的旁路参数。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-023,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,"Frantar, Elias; Ashkboos, Saleh; Hoefler, Torsten; Alistarh, Dan",2023,ICLR 2023,https://arxiv.org/abs/2210.17323,https://github.com/IST-DASLab/gptq,Quantization,二阶信息引导的逐层 PTQ,用近似二阶信息逐层求解权重量化，使无需重训练的一次性量化能推进到更低位宽而保持精度。,把每一层的量化写成一个目标：在权重被离散化的约束下，最小化该层输出相对原输出的误差。该目标的曲率由 Hessian 刻画，可用一小批校准数据估计。量化按列逐个进行，每量化一列就把引入的误差沿 Hessian 指示的方向补偿到尚未量化的列上，从而让误差不会简单累积。,逐层重构误差最小化而非逐权重就近取整；用校准数据估计的 Hessian 指导误差补偿方向；一次性（one-shot）量化：不需要反向传播与重训练,把 W 项按位宽比压缩，直接抬高步时间方程中 M_eff/W 的比值——按本库模块 07 的恒等式 C_max/B_half = M_eff/W − 1，这同时改善了批处理能达到的饱和上限，而不只是省显存。,低位宽权重需要配套的反量化 kernel；实际收益取决于 kernel 能否把反量化开销压到访存节省之下（见本库模块 04 第 9 章）。,本库未读原文，论文自述的困惑度与加速比均未采信；依赖校准数据，校准集与线上分布不匹配时精度损失被低估；逐层重构误差最小并不等价于端到端输出最优，误差可跨层累积；极低位宽下的表现对模型族敏感，不宜跨模型外推。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-024,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Xiao, Guangxuan; Lin, Ji; Seznec, Mickael; Wu, Hao; Demouth, Julien; Han, Song",2023,ICML 2023,https://arxiv.org/abs/2211.10438,https://github.com/mit-han-lab/smoothquant,Quantization,激活-权重难度迁移,用一个数学上等价的逐通道缩放，把激活的量化难度部分转移到权重上，使激活与权重都能落在可量化的动态范围内。,激活难量化（有离群值）而权重好量化（分布平坦）。在矩阵乘 XW 中插入一对互逆的对角缩放 X·diag(s)^{-1} 与 diag(s)·W，乘积保持不变，但激活的动态范围被压窄、权重的被拉宽。选取合适的 s 即可让两者的量化难度都落在可接受区间——这是一次难度的**再分配**，不是难度的消除。,等价变换 XW = (X·diag(s)^{-1})(diag(s)·W)；缩放因子 s 按逐通道的激活/权重幅值折中确定；缩放可离线折叠进前一层，推理时零额外开销,使 W8A8 这类**权重与激活同时量化**的方案变得可行，从而不仅压缩 W 项，也降低激活的搬运量与算子的计算精度需求；这比仅权重量化更能利用低精度算力单元。,缩放可折叠进上一层的权重，因此推理时不引入额外算子；W8A8 能直接吃到 INT8 矩阵引擎的算力，与仅权重量化（算力仍走高精度）在硬件收益上性质不同（见本库模块 07 第 3 章）。,本库未读原文，论文自述的精度与加速数字均未采信；缩放因子依赖校准数据统计的激活幅值，分布漂移会使其失配；难度只是被迁移而非消除，若激活离群极端到权重也无法承接，方法失效；折叠要求前一层结构允许，并非所有网络位置都可用。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-025,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"Lin, Ji; Tang, Jiaming; Tang, Haotian; Yang, Shang; Chen, Wei-Ming; Wang, Wei-Chen; Xiao, Guangxuan; Dang, Xingyu; et al.",2024,MLSys 2024,https://arxiv.org/abs/2306.00978,https://github.com/mit-han-lab/llm-awq,Quantization,激活感知的权重保护,指出权重的重要性应由**对应激活的幅值**判断而非权重自身幅值，据此按通道缩放保护少数重要权重通道，且不需要反向传播。,并非所有权重同等重要——与大幅值激活相乘的那些权重，其量化误差会被放大后传到输出。本文用校准数据统计各输入通道的激活幅值，对重要通道的权重施加逐通道缩放以降低其相对量化误差，缩放的逆作用在激活侧（可离线折叠）。整个过程只需前向统计，不需要梯度或重训练。,权重重要性 ∝ 对应激活幅值，而非权重幅值本身；逐通道缩放保护重要通道；免梯度：只依赖前向统计量,面向权重-only 低位宽场景，压缩 W 项；在小 batch、低并发的部署下（W 项主导步时间），这是收益最直接的一类优化——本库模块 07 的恒等式说明此时 M_eff/W 的抬升几乎全部转化为可用并发。,逐通道缩放可折叠，推理时无额外算子；但权重-only 量化在计算时仍需反量化回高精度，**不能直接吃到低精度矩阵引擎的算力**——这是它与 W8A8 类方案的关键差别。,本库未读原文，论文自述的精度保持与加速比均未采信；依赖校准数据的激活统计，与线上分布不匹配时保护通道选错；权重-only 方案的收益在大 batch 下随 W 项占比下降而衰减；实际加速强依赖反量化 kernel 质量，论文的算法收益与工程收益需分别评估。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-026,FP8 Formats for Deep Learning,"Micikevicius, Paulius; Stosic, Dusan; Burgess, Neil; Cornea, Marius; Dubey, Pradeep; Grisenthwaite, Richard; Ha, Sangwon; Heinecke, Alexander; et al.",2022,arXiv preprint,https://arxiv.org/abs/2209.05433,待核实,Quantization,数值格式定义,提出并定义 E4M3 与 E5M2 两种 8 位浮点交换格式，为跨厂商的低精度硬件与软件提供共同的数值语义。,8 位浮点的位分配必须在动态范围（指数位）与精度（尾数位）之间取舍，而前向激活/权重与反向梯度对这两者的需求不同。本文因此定义两种编码：E4M3 偏精度、E5M2 偏动态范围；E5M2 遵循 IEEE 754 的特殊值约定，E4M3 则牺牲无穷大表示并压缩 NaN 编码以换取更大的可用范围。,指数位与尾数位的取舍：范围 vs 精度；E4M3（4 位指数 3 位尾数）与 E5M2（5 位指数 2 位尾数）；交换格式的价值在于跨厂商语义一致，而非单点性能,FP8 同时压缩权重与 KV cache 的位宽，对应本库模块 07 中「有效位宽」这一变量；浮点格式的非均匀分辨率使其在动态范围大的张量上通常比同位宽定点更稳健。,该格式已成为当代加速器低精度单元的设计基准之一；**格式被定义**与**某芯片支持该格式**是两件事，后者需查各厂商自己的技术文档（本环境不可达，故本库不给出支持矩阵）。,本库未读原文，论文自述的训练质量对比与模型规模均未采信；本文是格式定义与训练验证，**不等于**推理侧的端到端精度结论；两种编码的选择、缩放策略与累加精度都是实现自由度，不同实现之间「都叫 FP8」但数值行为可能不同——跨系统比较需核对具体配置。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-027,KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache,"Liu, Zirui; Yuan, Jiayi; Jin, Hongye; Zhong, Shaochen; Xu, Zhaozhuo; Braverman, Vladimir; Chen, Beidi; Hu, Xia",2024,arXiv preprint,https://arxiv.org/abs/2402.02750,https://github.com/jy-yuan/KIVI,Quantization,KV cache 量化（K/V 分轴处理）,指出 key 与 value 缓存的离群结构不同——key 的离群沿通道、value 的不明显——因此二者应沿不同的轴分组量化，而非一视同仁。,KV cache 量化长期按同一策略处理 K 与 V。本文观察到 key 张量存在固定的离群通道，若沿 token 轴分组量化，离群通道会污染每一组的定标；改为沿通道轴分组则可把离群隔离在少数组内。value 张量无此结构，沿 token 轴分组即可。这一非对称处理使无需微调的低位宽 KV 量化成为可能。,K 沿通道轴分组、V 沿 token 轴分组；分组量化的有效位宽 = b_w + b_s/g（g 为组大小，b_s 为定标参数位宽）；免微调：只需前向统计,直接压缩步时间方程中的 k 项与 KV 容量占用，且与 GQA 等结构性压缩正交——前者压位宽、后者压头数，可叠加（但质量代价同样叠加）。,沿通道轴分组与注意力 kernel 的内存布局强耦合，实现难度高于沿 token 轴分组；**有效位宽必须计入定标参数**，否则会高估压缩比。,本库未读原文，论文自述的困惑度与内存节省数字均未采信；低位宽 KV 的误差会沿生成过程累积，短输出与长输出的表现可能显著不同；分组粒度是新增旋钮，且组越小压缩比越低（定标开销 b_s/g 上升）；与 prefix caching 共存时，量化后的块能否跨请求复用需要额外确认。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
P-028,SqueezeLLM: Dense-and-Sparse Quantization,"Kim, Sehoon; Hooper, Coleman; Gholami, Amir; Dong, Zhen; Li, Xiuyu; Shen, Sheng; Mahoney, Michael; Keutzer, Kurt",2023,arXiv preprint,https://arxiv.org/abs/2306.07629,https://github.com/SqueezeAILab/SqueezeLLM,Quantization,稠密-稀疏分解与非均匀量化,把权重拆成「非均匀量化的稠密部分」与「保留全精度的稀疏离群部分」，用极少的稀疏元素换取整体位宽的进一步下降。,均匀量化把动态范围等分，但权重分布通常是钟形的——等分意味着把大量格子浪费在几乎没有权重的尾部。本文改用基于敏感度加权的非均匀量化（量化点按重要性密集分布在高密度区），并把少数离群权重与敏感权重单独抽出、以稀疏格式保留高精度。稀疏部分占比极小，故整体平均位宽仍然很低。,非均匀量化点位置由敏感度加权的聚类确定；稠密（低位宽）+ 稀疏（高精度）分解；平均位宽 = 稠密位宽 + 稀疏占比 × 高精度位宽,decode 阶段是带宽受限的，权重读取字节数直接决定步时间；平均位宽下降即步时间下降——这条链路比「量化提升算力利用率」更直接，也更容易预估。,非均匀量化需要查表式反量化，稀疏部分需要额外的稀疏矩阵乘——两者都对 kernel 提出要求，实际收益强依赖实现质量。,本库未读原文，论文自述的困惑度与加速比均未采信；非均匀量化与稀疏分解都增加 kernel 复杂度，算法上的位宽节省与工程上的实测加速之间可能有显著落差；敏感度估计依赖校准数据；稀疏比例是需要整定的旋钮。,待核实,2026-08-10,docs/13_research_papers_and_technical_reports/05_quantization_and_compression_papers.md
